site,day,date,year,day_of_year,lambda_t,mu_t,sigma2_t,observed_occupancy,admission_count
Site 1,54,2023-02-23,2023,54,1.91638,8.74458,76.46766,14,1.91638
Site 1,55,2023-02-24,2023,55,1.92054,8.73943,76.37768,19,1.92054
Site 1,56,2023-02-25,2023,56,1.92462,8.73407,76.28392,18,1.92462
Site 1,57,2023-02-26,2023,57,1.92859,8.72848,76.18643,18,1.92859
Site 1,58,2023-02-27,2023,58,1.93247,8.72268,76.08523,26,1.93247
Site 1,59,2023-02-28,2023,59,1.93625,8.71667,75.98036,19,1.93625
Site 1,60,2023-03-01,2023,60,1.93993,8.71045,75.87187,14,1.93993
Site 1,61,2023-03-02,2023,61,1.94351,8.70401,75.75979,16,1.94351
Site 1,62,2023-03-03,2023,62,1.94698,8.69737,75.64416,12,1.94698
Site 1,63,2023-03-04,2023,63,1.95036,8.69051,75.52503,19,1.95036
Site 1,64,2023-03-05,2023,64,1.95363,8.68346,75.40244,10,1.95363
Site 1,65,2023-03-06,2023,65,1.95679,8.6762,75.27643,14,1.95679
Site 1,66,2023-03-07,2023,66,1.95985,8.66874,75.14706,16,1.95985
Site 1,67,2023-03-08,2023,67,1.96281,8.66108,75.01436,9,1.96281
Site 1,68,2023-03-09,2023,68,1.96565,8.65323,74.8784,8,1.96565
Site 1,69,2023-03-10,2023,69,1.96839,8.64518,74.73921,11,1.96839
Site 1,70,2023-03-11,2023,70,1.97102,8.63695,74.59684,20,1.97102
Site 1,71,2023-03-12,2023,71,1.97353,8.62852,74.45136,17,1.97353
Site 1,72,2023-03-13,2023,72,1.97594,8.61991,74.3028,19,1.97594
Site 1,73,2023-03-14,2023,73,1.97824,8.61111,74.15123,18,1.97824
Site 1,74,2023-03-15,2023,74,1.98042,8.60213,73.9967,20,1.98042
Site 1,75,2023-03-16,2023,75,1.98249,8.59298,73.83926,20,1.98249
Site 1,76,2023-03-17,2023,76,1.98445,8.58365,73.67898,18,1.98445
Site 1,77,2023-03-18,2023,77,1.9863,8.57414,73.5159,17,1.9863
Site 1,78,2023-03-19,2023,78,1.98803,8.56447,73.35009,20,1.98803
Site 1,79,2023-03-20,2023,79,1.98964,8.55462,73.18161,19,1.98964
Site 1,80,2023-03-21,2023,80,1.99114,8.54462,73.01051,14,1.99114
Site 1,81,2023-03-22,2023,81,1.99252,8.53445,72.83686,25,1.99252
Site 1,82,2023-03-23,2023,82,1.99379,8.52413,72.66071,19,1.99379
Site 1,83,2023-03-24,2023,83,1.99494,8.51364,72.48213,18,1.99494
Site 1,84,2023-03-25,2023,84,1.99597,8.50301,72.30118,16,1.99597
Site 1,85,2023-03-26,2023,85,1.99689,8.49223,72.11793,16,1.99689
Site 1,86,2023-03-27,2023,86,1.99769,8.4813,71.93244,20,1.99769
Site 1,87,2023-03-28,2023,87,1.99837,8.47023,71.74477,13,1.99837
Site 1,88,2023-03-29,2023,88,1.99893,8.45902,71.55498,22,1.99893
Site 1,89,2023-03-30,2023,89,1.99937,8.44767,71.36315,15,1.99937
Site 1,90,2023-03-31,2023,90,1.9997,8.43619,71.16934,17,1.9997
Site 1,91,2023-04-01,2023,91,1.99991,8.42458,70.97362,18,1.99991
Site 1,92,2023-04-02,2023,92,2.0,8.41285,70.77604,20,2.0
Site 1,93,2023-04-03,2023,93,1.99997,8.40099,70.57669,16,1.99997
Site 1,94,2023-04-04,2023,94,1.99982,8.38902,70.37563,11,1.99982
Site 1,95,2023-04-05,2023,95,1.99955,8.37693,70.17292,17,1.99955
Site 1,96,2023-04-06,2023,96,1.99917,8.36473,69.96863,16,1.99917
Site 1,97,2023-04-07,2023,97,1.99866,8.35242,69.76284,14,1.99866
Site 1,98,2023-04-08,2023,98,1.99804,8.34,69.5556,16,1.99804
Site 1,99,2023-04-09,2023,99,1.9973,8.32748,69.347,15,1.9973
Site 1,100,2023-04-10,2023,100,1.99645,8.31487,69.1371,14,1.99645
Site 1,101,2023-04-11,2023,101,1.99547,8.30217,68.92597,18,1.99547
Site 1,102,2023-04-12,2023,102,1.99438,8.28937,68.71367,16,1.99438
Site 1,103,2023-04-13,2023,103,1.99317,8.27649,68.50028,22,1.99317
Site 1,104,2023-04-14,2023,104,1.99185,8.26353,68.28587,14,1.99185
Site 1,105,2023-04-15,2023,105,1.9904,8.25049,68.07051,12,1.9904
Site 1,106,2023-04-16,2023,106,1.98885,8.23737,67.85427,15,1.98885
Site 1,107,2023-04-17,2023,107,1.98718,8.22418,67.63721,12,1.98718
Site 1,108,2023-04-18,2023,108,1.98539,8.21093,67.41941,14,1.98539
Site 1,109,2023-04-19,2023,109,1.98349,8.19762,67.20094,18,1.98349
Site 1,110,2023-04-20,2023,110,1.98147,8.18424,66.98186,19,1.98147
Site 1,111,2023-04-21,2023,111,1.97934,8.17082,66.76225,12,1.97934
Site 1,112,2023-04-22,2023,112,1.9771,8.15734,66.54217,16,1.9771
Site 1,113,2023-04-23,2023,113,1.97475,8.14381,66.32169,4,1.97475
Site 1,114,2023-04-24,2023,114,1.97229,8.13025,66.10089,19,1.97229
Site 1,115,2023-04-25,2023,115,1.96972,8.11664,65.87983,13,1.96972
Site 1,116,2023-04-26,2023,116,1.96703,8.103,65.65859,17,1.96703
Site 1,117,2023-04-27,2023,117,1.96424,8.08933,65.43721,13,1.96424
Site 1,118,2023-04-28,2023,118,1.96134,8.07563,65.21579,23,1.96134
Site 1,119,2023-04-29,2023,119,1.95834,8.06191,64.99438,18,1.95834
Site 1,120,2023-04-30,2023,120,1.95522,8.04817,64.77305,15,1.95522
Site 1,121,2023-05-01,2023,121,1.952,8.03442,64.55187,22,1.952
Site 1,122,2023-05-02,2023,122,1.94868,8.02065,64.3309,17,1.94868
Site 1,123,2023-05-03,2023,123,1.94526,8.00689,64.11022,13,1.94526
Site 1,124,2023-05-04,2023,124,1.94173,7.99311,63.88988,18,1.94173
Site 1,125,2023-05-05,2023,125,1.9381,7.97935,63.66995,17,1.9381
Site 1,126,2023-05-06,2023,126,1.93437,7.96558,63.4505,15,1.93437
Site 1,127,2023-05-07,2023,127,1.93054,7.95183,63.23159,20,1.93054
Site 1,128,2023-05-08,2023,128,1.92662,7.93809,63.01329,11,1.92662
Site 1,129,2023-05-09,2023,129,1.92259,7.92437,62.79565,17,1.92259
Site 1,130,2023-05-10,2023,130,1.91847,7.91067,62.57874,23,1.91847
Site 1,131,2023-05-11,2023,131,1.91426,7.897,62.36263,19,1.91426
Site 1,132,2023-05-12,2023,132,1.90995,7.88336,62.14738,18,1.90995
Site 1,133,2023-05-13,2023,133,1.90556,7.86975,61.93303,21,1.90556
Site 1,134,2023-05-14,2023,134,1.90107,7.85619,61.71967,14,1.90107
Site 1,135,2023-05-15,2023,135,1.89649,7.84266,61.50734,10,1.89649
Site 1,136,2023-05-16,2023,136,1.89182,7.82918,61.29611,1,1.89182
Site 1,137,2023-05-17,2023,137,1.88707,7.81576,61.08603,20,1.88707
Site 1,138,2023-05-18,2023,138,1.88223,7.80238,60.87717,14,1.88223
Site 1,139,2023-05-19,2023,139,1.87731,7.78907,60.66957,13,1.87731
Site 1,140,2023-05-20,2023,140,1.87231,7.77582,60.46331,17,1.87231
Site 1,141,2023-05-21,2023,141,1.86723,7.76263,60.25842,11,1.86723
Site 1,142,2023-05-22,2023,142,1.86206,7.74951,60.05497,12,1.86206
Site 1,143,2023-05-23,2023,143,1.85682,7.73647,59.85302,13,1.85682
Site 1,144,2023-05-24,2023,144,1.85151,7.72351,59.65261,7,1.85151
Site 1,145,2023-05-25,2023,145,1.84611,7.71063,59.4538,14,1.84611
Site 1,146,2023-05-26,2023,146,1.84065,7.69783,59.25664,15,1.84065
Site 1,147,2023-05-27,2023,147,1.83511,7.68513,59.06119,9,1.83511
Site 1,148,2023-05-28,2023,148,1.82951,7.67252,58.86749,14,1.82951
Site 1,149,2023-05-29,2023,149,1.82384,7.66,58.6756,14,1.82384
Site 1,150,2023-05-30,2023,150,1.8181,7.64758,58.48556,14,1.8181
Site 1,151,2023-05-31,2023,151,1.81229,7.63527,58.29742,18,1.81229
Site 1,152,2023-06-01,2023,152,1.80642,7.62307,58.11123,12,1.80642
Site 1,153,2023-06-02,2023,153,1.8005,7.61098,57.92704,12,1.8005
Site 1,154,2023-06-03,2023,154,1.79451,7.59901,57.7449,12,1.79451
Site 1,155,2023-06-04,2023,155,1.78846,7.58715,57.56485,8,1.78846
Site 1,156,2023-06-05,2023,156,1.78236,7.57542,57.38693,17,1.78236
Site 1,157,2023-06-06,2023,157,1.77621,7.56381,57.21119,7,1.77621
Site 1,158,2023-06-07,2023,158,1.77,7.55233,57.03767,10,1.77
Site 1,159,2023-06-08,2023,159,1.76374,7.54098,56.86641,16,1.76374
Site 1,160,2023-06-09,2023,160,1.75744,7.52977,56.69746,11,1.75744
Site 1,161,2023-06-10,2023,161,1.75108,7.5187,56.53086,17,1.75108
Site 1,162,2023-06-11,2023,162,1.74469,7.50777,56.36665,11,1.74469
Site 1,163,2023-06-12,2023,163,1.73824,7.49699,56.20486,15,1.73824
Site 1,164,2023-06-13,2023,164,1.73176,7.48636,56.04553,14,1.73176
Site 1,165,2023-06-14,2023,165,1.72524,7.47587,55.88871,15,1.72524
Site 1,166,2023-06-15,2023,166,1.71869,7.46555,55.73442,14,1.71869
Site 1,167,2023-06-16,2023,167,1.71209,7.45538,55.58271,12,1.71209
Site 1,168,2023-06-17,2023,168,1.70547,7.44538,55.43361,22,1.70547
Site 1,169,2023-06-18,2023,169,1.69881,7.43553,55.28715,12,1.69881
Site 1,170,2023-06-19,2023,170,1.69212,7.42586,55.14337,15,1.69212
Site 1,171,2023-06-20,2023,171,1.68541,7.41635,55.00231,5,1.68541
Site 1,172,2023-06-21,2023,172,1.67867,7.40702,54.86398,9,1.67867
Site 1,173,2023-06-22,2023,173,1.67191,7.39787,54.72843,12,1.67191
Site 1,174,2023-06-23,2023,174,1.66512,7.38889,54.59568,16,1.66512
Site 1,175,2023-06-24,2023,175,1.65832,7.38009,54.46577,13,1.65832
Site 1,176,2023-06-25,2023,176,1.6515,7.37148,54.33872,9,1.6515
Site 1,177,2023-06-26,2023,177,1.64466,7.36305,54.21456,13,1.64466
Site 1,178,2023-06-27,2023,178,1.63781,7.35482,54.09332,4,1.63781
Site 1,179,2023-06-28,2023,179,1.63095,7.34677,53.97502,14,1.63095
Site 1,180,2023-06-29,2023,180,1.62409,7.33892,53.8597,8,1.62409
Site 1,181,2023-06-30,2023,181,1.61721,7.33126,53.74737,9,1.61721
Site 1,182,2023-07-01,2023,182,1.61033,7.3238,53.63806,10,1.61033
Site 1,183,2023-07-02,2023,183,1.60344,7.31654,53.53179,14,1.60344
Site 1,184,2023-07-03,2023,184,1.59656,7.30949,53.42859,10,1.59656
Site 1,185,2023-07-04,2023,185,1.58967,7.30263,53.32848,15,1.58967
Site 1,186,2023-07-05,2023,186,1.58279,7.29599,53.23147,10,1.58279
Site 1,187,2023-07-06,2023,187,1.57591,7.28955,53.1376,10,1.57591
Site 1,188,2023-07-07,2023,188,1.56905,7.28333,53.04688,10,1.56905
Site 1,189,2023-07-08,2023,189,1.56219,7.27732,52.95932,15,1.56219
Site 1,190,2023-07-09,2023,190,1.55534,7.27152,52.87495,2,1.55534
Site 1,191,2023-07-10,2023,191,1.5485,7.26593,52.79378,16,1.5485
Site 1,192,2023-07-11,2023,192,1.54168,7.26057,52.71584,8,1.54168
Site 1,193,2023-07-12,2023,193,1.53488,7.25542,52.64113,14,1.53488
Site 1,194,2023-07-13,2023,194,1.52809,7.25049,52.56968,12,1.52809
Site 1,195,2023-07-14,2023,195,1.52133,7.24579,52.50149,6,1.52133
Site 1,196,2023-07-15,2023,196,1.51459,7.24131,52.43658,9,1.51459
Site 1,197,2023-07-16,2023,197,1.50788,7.23706,52.37497,6,1.50788
Site 1,198,2023-07-17,2023,198,1.50119,7.23303,52.31666,7,1.50119
Site 1,199,2023-07-18,2023,199,1.49453,7.22922,52.26167,7,1.49453
Site 1,200,2023-07-19,2023,200,1.48791,7.22565,52.21001,19,1.48791
Site 1,201,2023-07-20,2023,201,1.48131,7.22231,52.1617,8,1.48131
Site 1,202,2023-07-21,2023,202,1.47476,7.21919,52.11673,17,1.47476
Site 1,203,2023-07-22,2023,203,1.46824,7.21631,52.07512,6,1.46824
Site 1,204,2023-07-23,2023,204,1.46176,7.21366,52.03687,10,1.46176
Site 1,205,2023-07-24,2023,205,1.45531,7.21124,52.002,11,1.45531
Site 1,206,2023-07-25,2023,206,1.44892,7.20906,51.97052,5,1.44892
Site 1,207,2023-07-26,2023,207,1.44256,7.20711,51.94242,13,1.44256
Site 1,208,2023-07-27,2023,208,1.43626,7.20539,51.91771,7,1.43626
Site 1,209,2023-07-28,2023,209,1.43,7.20392,51.8964,13,1.43
Site 1,210,2023-07-29,2023,210,1.42379,7.20267,51.8785,3,1.42379
Site 1,211,2023-07-30,2023,211,1.41764,7.20167,51.864,10,1.41764
Site 1,212,2023-07-31,2023,212,1.41154,7.2009,51.85291,13,1.41154
Site 1,213,2023-08-01,2023,213,1.40549,7.20036,51.84523,8,1.40549
Site 1,214,2023-08-02,2023,214,1.3995,7.20007,51.84096,14,1.3995
Site 1,215,2023-08-03,2023,215,1.39358,7.20001,51.84011,15,1.39358
Site 1,216,2023-08-04,2023,216,1.38771,7.20019,51.84267,10,1.38771
Site 1,217,2023-08-05,2023,217,1.3819,7.2006,51.84864,9,1.3819
Site 1,218,2023-08-06,2023,218,1.37616,7.20125,51.85803,5,1.37616
Site 1,219,2023-08-07,2023,219,1.37049,7.20214,51.87082,11,1.37049
Site 1,220,2023-08-08,2023,220,1.36489,7.20326,51.88702,7,1.36489
Site 1,221,2023-08-09,2023,221,1.35935,7.20463,51.90663,9,1.35935
Site 1,222,2023-08-10,2023,222,1.35389,7.20622,51.92964,12,1.35389
Site 1,223,2023-08-11,2023,223,1.34849,7.20805,51.95604,12,1.34849
Site 1,224,2023-08-12,2023,224,1.34318,7.21012,51.98584,9,1.34318
Site 1,225,2023-08-13,2023,225,1.33794,7.21242,52.01902,14,1.33794
Site 1,226,2023-08-14,2023,226,1.33277,7.21495,52.05557,8,1.33277
Site 1,227,2023-08-15,2023,227,1.32769,7.21772,52.0955,16,1.32769
Site 1,228,2023-08-16,2023,228,1.32269,7.22072,52.13879,5,1.32269
Site 1,229,2023-08-17,2023,229,1.31777,7.22395,52.18544,16,1.31777
Site 1,230,2023-08-18,2023,230,1.31293,7.22741,52.23543,6,1.31293
Site 1,231,2023-08-19,2023,231,1.30818,7.2311,52.28875,8,1.30818
Site 1,232,2023-08-20,2023,232,1.30351,7.23501,52.3454,7,1.30351
Site 1,233,2023-08-21,2023,233,1.29893,7.23915,52.40536,10,1.29893
Site 1,234,2023-08-22,2023,234,1.29444,7.24352,52.46862,7,1.29444
Site 1,235,2023-08-23,2023,235,1.29005,7.24812,52.53517,8,1.29005
Site 1,236,2023-08-24,2023,236,1.28574,7.25293,52.605,9,1.28574
Site 1,237,2023-08-25,2023,237,1.28153,7.25797,52.67808,12,1.28153
Site 1,238,2023-08-26,2023,238,1.27741,7.26322,52.75441,11,1.27741
Site 1,239,2023-08-27,2023,239,1.27338,7.2687,52.83396,7,1.27338
Site 1,240,2023-08-28,2023,240,1.26946,7.27439,52.91673,9,1.26946
Site 1,241,2023-08-29,2023,241,1.26563,7.2803,53.0027,9,1.26563
Site 1,242,2023-08-30,2023,242,1.2619,7.28641,53.09184,5,1.2619
Site 1,243,2023-08-31,2023,243,1.25827,7.29275,53.18414,17,1.25827
Site 1,244,2023-09-01,2023,244,1.25474,7.29929,53.27959,11,1.25474
Site 1,245,2023-09-02,2023,245,1.25132,7.30603,53.37815,15,1.25132
Site 1,246,2023-09-03,2023,246,1.248,7.31299,53.47981,12,1.248
Site 1,247,2023-09-04,2023,247,1.24478,7.32015,53.58454,10,1.24478
Site 1,248,2023-09-05,2023,248,1.24166,7.32751,53.69233,8,1.24166
Site 1,249,2023-09-06,2023,249,1.23866,7.33506,53.80316,11,1.23866
Site 1,250,2023-09-07,2023,250,1.23576,7.34282,53.91699,7,1.23576
Site 1,251,2023-09-08,2023,251,1.23297,7.35077,54.0338,8,1.23297
Site 1,252,2023-09-09,2023,252,1.23028,7.35891,54.15357,8,1.23028
Site 1,253,2023-09-10,2023,253,1.22771,7.36724,54.27628,9,1.22771
Site 1,254,2023-09-11,2023,254,1.22525,7.37576,54.40188,9,1.22525
Site 1,255,2023-09-12,2023,255,1.2229,7.38447,54.53037,11,1.2229
Site 1,256,2023-09-13,2023,256,1.22066,7.39336,54.6617,10,1.22066
Site 1,257,2023-09-14,2023,257,1.21853,7.40242,54.79586,11,1.21853
Site 1,258,2023-09-15,2023,258,1.21651,7.41167,54.9328,2,1.21651
Site 1,259,2023-09-16,2023,259,1.21461,7.42108,55.0725,7,1.21461
Site 1,260,2023-09-17,2023,260,1.21282,7.43067,55.21493,12,1.21282
Site 1,261,2023-09-18,2023,261,1.21115,7.44043,55.36005,10,1.21115
Site 1,262,2023-09-19,2023,262,1.2096,7.45036,55.50783,9,1.2096
Site 1,263,2023-09-20,2023,263,1.20815,7.46045,55.65824,11,1.20815
Site 1,264,2023-09-21,2023,264,1.20683,7.47069,55.81124,10,1.20683
Site 1,265,2023-09-22,2023,265,1.20562,7.4811,55.9668,14,1.20562
Site 1,266,2023-09-23,2023,266,1.20453,7.49165,56.12488,10,1.20453
Site 1,267,2023-09-24,2023,267,1.20355,7.50236,56.28544,9,1.20355
Site 1,268,2023-09-25,2023,268,1.2027,7.51322,56.44845,12,1.2027
Site 1,269,2023-09-26,2023,269,1.20196,7.52422,56.61387,7,1.20196
Site 1,270,2023-09-27,2023,270,1.20134,7.53536,56.78165,7,1.20134
Site 1,271,2023-09-28,2023,271,1.20083,7.54664,56.95175,10,1.20083
Site 1,272,2023-09-29,2023,272,1.20045,7.55805,57.12415,7,1.20045
Site 1,273,2023-09-30,2023,273,1.20018,7.5696,57.29878,14,1.20018
Site 1,274,2023-10-01,2023,274,1.20003,7.58127,57.47562,8,1.20003
Site 1,275,2023-10-02,2023,275,1.2,7.59306,57.65461,7,1.2
Site 1,276,2023-10-03,2023,276,1.20009,7.60498,57.83571,11,1.20009
Site 1,277,2023-10-04,2023,277,1.2003,7.61701,58.01889,19,1.2003
Site 1,278,2023-10-05,2023,278,1.20063,7.62916,58.20408,10,1.20063
Site 1,279,2023-10-06,2023,279,1.20107,7.64142,58.39125,5,1.20107
Site 1,280,2023-10-07,2023,280,1.20163,7.65378,58.58034,8,1.20163
Site 1,281,2023-10-08,2023,281,1.20231,7.66625,58.77131,11,1.20231
Site 1,282,2023-10-09,2023,282,1.20311,7.67881,58.96412,7,1.20311
Site 1,283,2023-10-10,2023,283,1.20403,7.69147,59.1587,11,1.20403
Site 1,284,2023-10-11,2023,284,1.20506,7.70422,59.35501,12,1.20506
Site 1,285,2023-10-12,2023,285,1.20621,7.71706,59.553,17,1.20621
Site 1,286,2023-10-13,2023,286,1.20748,7.72998,59.75262,12,1.20748
Site 1,287,2023-10-14,2023,287,1.20886,7.74298,59.95381,5,1.20886
Site 1,288,2023-10-15,2023,288,1.21036,7.75606,60.15651,8,1.21036
Site 1,289,2023-10-16,2023,289,1.21197,7.76921,60.36069,5,1.21197
Site 1,290,2023-10-17,2023,290,1.2137,7.78243,60.56627,6,1.2137
Site 1,291,2023-10-18,2023,291,1.21555,7.79572,60.77321,13,1.21555
Site 1,292,2023-10-19,2023,292,1.21751,7.80906,60.98145,11,1.21751
Site 1,293,2023-10-20,2023,293,1.21958,7.82246,61.19092,13,1.21958
Site 1,294,2023-10-21,2023,294,1.22176,7.83592,61.40159,15,1.22176
Site 1,295,2023-10-22,2023,295,1.22406,7.84942,61.61337,10,1.22406
Site 1,296,2023-10-23,2023,296,1.22647,7.86297,61.82623,7,1.22647
Site 1,297,2023-10-24,2023,297,1.22898,7.87655,62.04009,12,1.22898
Site 1,298,2023-10-25,2023,298,1.23161,7.89018,62.25489,14,1.23161
Site 1,299,2023-10-26,2023,299,1.23435,7.90383,62.47059,14,1.23435
Site 1,300,2023-10-27,2023,300,1.23719,7.91752,62.6871,12,1.23719
Site 1,301,2023-10-28,2023,301,1.24015,7.93123,62.90438,8,1.24015
Site 1,302,2023-10-29,2023,302,1.24321,7.94496,63.12236,12,1.24321
Site 1,303,2023-10-30,2023,303,1.24637,7.9587,63.34097,12,1.24637
Site 1,304,2023-10-31,2023,304,1.24964,7.97246,63.56016,10,1.24964
Site 1,305,2023-11-01,2023,305,1.25302,7.98623,63.77986,10,1.25302
Site 1,306,2023-11-02,2023,306,1.25649,8.0,64.0,11,1.25649
Site 1,307,2023-11-03,2023,307,1.26007,8.01377,64.22052,15,1.26007
Site 1,308,2023-11-04,2023,308,1.26375,8.02754,64.44135,5,1.26375
Site 1,309,2023-11-05,2023,309,1.26753,8.0413,64.66244,14,1.26753
Site 1,310,2023-11-06,2023,310,1.27141,8.05504,64.8837,12,1.27141
Site 1,311,2023-11-07,2023,311,1.27538,8.06877,65.10508,13,1.27538
Site 1,312,2023-11-08,2023,312,1.27946,8.08248,65.3265,12,1.27946
Site 1,313,2023-11-09,2023,313,1.28362,8.09617,65.54791,9,1.28362
Site 1,314,2023-11-10,2023,314,1.28788,8.10982,65.76923,18,1.28788
Site 1,315,2023-11-11,2023,315,1.29223,8.12345,65.99039,5,1.29223
Site 1,316,2023-11-12,2023,316,1.29668,8.13703,66.21133,11,1.29668
Site 1,317,2023-11-13,2023,317,1.30121,8.15058,66.43198,10,1.30121
Site 1,318,2023-11-14,2023,318,1.30583,8.16408,66.65226,7,1.30583
Site 1,319,2023-11-15,2023,319,1.31054,8.17754,66.87211,13,1.31054
Site 1,320,2023-11-16,2023,320,1.31534,8.19094,67.09147,16,1.31534
Site 1,321,2023-11-17,2023,321,1.32022,8.20428,67.31025,13,1.32022
Site 1,322,2023-11-18,2023,322,1.32518,8.21757,67.5284,7,1.32518
Site 1,323,2023-11-19,2023,323,1.33022,8.23079,67.74584,8,1.33022
Site 1,324,2023-11-20,2023,324,1.33535,8.24394,67.9625,4,1.33535
Site 1,325,2023-11-21,2023,325,1.34055,8.25702,68.17831,11,1.34055
Site 1,326,2023-11-22,2023,326,1.34583,8.27002,68.3932,9,1.34583
Site 1,327,2023-11-23,2023,327,1.35118,8.28294,68.60711,11,1.35118
Site 1,328,2023-11-24,2023,328,1.35661,8.29578,68.81996,16,1.35661
Site 1,329,2023-11-25,2023,329,1.36211,8.30853,69.03168,10,1.36211
Site 1,330,2023-11-26,2023,330,1.36768,8.32119,69.24221,12,1.36768
Site 1,331,2023-11-27,2023,331,1.37332,8.33375,69.45147,6,1.37332
Site 1,332,2023-11-28,2023,332,1.37903,8.34622,69.6594,18,1.37903
Site 1,333,2023-11-29,2023,333,1.3848,8.35858,69.86592,15,1.3848
Site 1,334,2023-11-30,2023,334,1.39063,8.37084,70.07097,14,1.39063
Site 1,335,2023-12-01,2023,335,1.39653,8.38299,70.27447,14,1.39653
Site 1,336,2023-12-02,2023,336,1.40249,8.39502,70.47637,10,1.40249
Site 1,337,2023-12-03,2023,337,1.40851,8.40694,70.67659,10,1.40851
Site 1,338,2023-12-04,2023,338,1.41458,8.41873,70.87506,10,1.41458
Site 1,339,2023-12-05,2023,339,1.42071,8.4304,71.07171,12,1.42071
